location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
26,4020 Montgomery St,,Savannah,GA,31405,Chatham,,,UNITED STATES OF AMERICA,,
27,1242 N Laura St,,Jacksonville,FL,32206,Duval,,,UNITED STATES OF AMERICA,,
28,8110 Misty Wood Ave,,Lakewood Ranch,FL,34202,Manatee,,,UNITED STATES OF AMERICA,,
29,6318 14th St E,,Bradenton,FL,34203,Manatee,,,UNITED STATES OF AMERICA,,
30,5120 SW 13th Pl,,Gainesville,FL,32607,Alachua,,,UNITED STATES OF AMERICA,,
31,,,,FL,33414,Palm Beach,,,UNITED STATES OF AMERICA,,
32,3415 sw 39th blvd,,,FL,32608,Alachua,,,UNITED STATES OF AMERICA,,
33,1600 SW Archer Rd,,Gainesville,FL,32610,Alachua,,,UNITED STATES OF AMERICA,29.6392,-82.3441
34,1329 SW 16th St,,Gainesville,FL,32608,Alachua,,,UNITED STATES OF AMERICA,0,0
35,3900 S Congress Ave,,West Palm Beach,FL,33461,Palm Beach,,,UNITED STATES OF AMERICA,-82.3441,29.6392
36,1 Beach Dr SE,,St Petersburg,FL,33701,Pinellas,,,UNITED STATES OF AMERICA,95.1234,-82.6403
37,600 S Calhoun St,,Tallahassee,FL,32399,Leon,,,UNITED STATES OF AMERICA,N/A,unknown
38,2 S Biscayne Blvd,,Miami,FL,33131,Miami-Dade,,,UNITED STATES OF AMERICA,25.7617,
39,1250 West 16th Streett,,Jacksonville,FL,32209,Duval,,,UNITED STATES OF AMERICA,,
40,1155 Southeast 7th Avnue,,Dania Beach,FL,33004,Broward,,,UNITED STATES OF AMERICA,,
41,8441 HELEN TERRACE,,JACKSONVILLE,FL,32210,Duval,,,UNITED STATES OF AMERICA,,
42,4400 SW 20th Ave,Apartment 4B,Gainesville,FL,32607,Alachua,,,UNITED STATES OF AMERICA,,
43,2060 Continental Ave,Sutie 200,Tallahassee,FL,32304,Leon,,,UNITED STATES OF AMERICA,,
44,1250–1260 W 16th St,,Jacksonville,FL,32209,Duval,,,UNITED STATES OF AMERICA,,
45,1200 O'Brien Rd,,Ocala,FL,34471,Marion,,,UNITED STATES OF AMERICA,,
46,3000 St. Augustine Rd,,Jacksonville,FL,32207,Duval,,,UNITED STATES OF AMERICA,,
47,1234 Ponce de León Blvd,,Coral Gables,FL,33134,Miami-Dade,,,UNITED STATES OF AMERICA,,
48,PO Box 1234,,Gainesville,FL,32602,Alachua,,,UNITED STATES OF AMERICA,,
49,Main St & 1st Ave,,Jacksonville,FL,32202,Duval,,,UNITED STATES OF AMERICA,,
50,12345 State Highway 26,,Newberry,FL,32669,Alachua,,,UNITED STATES OF AMERICA,,
51,RR 2 Box 15,,Live Oak,FL,32060,Suwannee,,,UNITED STATES OF AMERICA,,
52,Millhopper Rd,,Gainesville,FL,32653,Alachua,,,UNITED STATES OF AMERICA,,
53,700 Universe Blvd,,Juno Beach,Florida,33408,Palm Beach,,,UNITED STATES OF AMERICA,,
54,1000 Peachtree Park Dr NE,,Atlanta,Georgia,30309,Fulton,,,UNITED STATES OF AMERICA,,
55,2500 N State St,,Jackson,Mississippi,39216,Hinds,,,UNITED STATES OF AMERICA,,
56,1510 6th Ave,,Columbus,ga,31901,Muscogee,,,UNITED STATES OF AMERICA,,
57,1329 SW 16th St,,Gainesville,FL,32608-1234,Alachua,,,UNITED STATES OF AMERICA,,
58,1493 Cambridge St,,Boston,MA,2134,Suffolk,,,UNITED STATES OF AMERICA,,
59,1493 Cambridge St,,Boston,MA,2134,Suffolk,,,UNITED STATES OF AMERICA,,
60,5120 SW 13th Pl,,Gainesville,FL,32608,Alachua,,,UNITED STATES OF AMERICA,,
61,100 Nowhere Rd,,Gainesville,FL,0,Alachua,,,UNITED STATES OF AMERICA,,
62,200 Testing Way,,Tampa,FL,99999,Hillsborough,,,UNITED STATES OF AMERICA,,
63,483 Bay St,,Toronto,ON,M5V 3L9,,,,CANADA,,
64,,,,FL,33414,Palm Beach,,,UNITED STATES OF AMERICA,,
65,Not Stated,,UNKNOWN,FL,32601,Alachua,,,UNITED STATES OF AMERICA,,
66,1500 NW 13th St,,N/A,FL,32601,Alachua,,,UNITED STATES OF AMERICA,,
